RowNumber,Returns,Volatility,BTC,ETH,ETC,LTC,DASH,NEO,ZEC,XMR
0,1.250679322,0.350580282,0.14856626,0.030199201,0.155294145,0.029180521,0.078300776,0.169099986,0.144487505,0.244871606
1,1.407726852,0.365212572,0.266079318,0.03382113,0.272729793,0.00908855,0.202992196,0.12667152,0.048888365,0.039729129
2,1.214753201,0.334873695,0.136133568,0.097586432,0.043339063,0.033989525,0.082132735,0.242959154,0.213725065,0.150134458
3,1.303873102,0.363491391,0.126672371,0.15898032,0.13152089,0.141918751,0.00311287,0.170103319,0.153394882,0.114296598
4,1.298984602,0.353582782,0.163662251,0.202754795,0.055241952,0.046307811,0.066825577,0.19185273,0.157248318,0.116106565
5,1.382204509,0.372095007,0.204730511,0.065153166,0.144586684,0.174836254,0.042967405,0.11983249,0.0970203,0.15087319
6,1.274069871,0.334999394,0.184416165,0.138492468,0.134360537,0.034508888,0.051886145,0.240742779,0.173106035,0.042486982
7,1.073916669,0.343436807,0.027212865,0.083286332,0.062350501,0.049503507,0.02645247,0.199896042,0.310626804,0.240671478
8,1.364125497,0.392231351,0.071147978,0.212033037,0.081354811,0.147404782,0.116564289,0.139578313,0.064567332,0.167349458
9,1.27496048,0.361182474,0.067697962,0.113103404,0.180624245,0.047756124,0.116401566,0.201425882,0.126700239,0.146290578
10,1.230899223,0.369789848,0.103551791,0.155763235,0.085489298,0.05635719,0.082305213,0.124361702,0.202881164,0.189290407
11,1.366400902,0.366437284,0.207026143,0.109364806,0.11710003,0.094498535,0.089287751,0.126197479,0.139504608,0.117020648
12,1.334233199,0.363019551,0.164613815,0.160687415,0.192261593,0.014517595,0.069287423,0.164394019,0.040884757,0.193353384
13,1.22271909,0.410036755,0.06960647,0.182995937,0.17345338,0.248822124,0.013205629,0.013066938,0.221577627,0.077271895
14,1.271547163,0.395523103,0.016235447,0.065003905,0.213012894,0.17486575,0.138222505,0.1074555,0.139768186,0.145435813
15,1.413037124,0.394808102,0.226604591,0.053843702,0.146409428,0.121829806,0.148433306,0.046845785,0.001442464,0.254590918
16,1.268361657,0.362333914,0.117077164,0.109445173,0.104496448,0.038201777,0.186487067,0.171825512,0.200124574,0.072342284
17,1.399543166,0.407402971,0.061085143,0.220940782,0.067141304,0.202961194,0.148391116,0.125997162,0.009327334,0.164155964
18,1.317141097,0.368306836,0.147363817,0.183602735,0.027575032,0.19635041,0.037920615,0.162692751,0.202319685,0.042174955
19,1.194480861,0.3961113,0.034810121,0.061972446,0.028863792,0.166488918,0.112063147,0.067717225,0.167593216,0.360491136
20,1.372454802,0.377832186,0.082767029,0.2159781,0.093090483,0.250069483,0.058085754,0.236061755,0.029632236,0.034315159
21,1.395810079,0.378356187,0.184865338,0.114712847,0.223542695,0.196338912,0.022333941,0.141782363,0.014521118,0.101902786
22,1.374658646,0.36256084,0.139804788,0.049200627,0.094200949,0.106782246,0.180178093,0.199723689,0.105352286,0.124757322
23,1.401782582,0.374230796,0.208514095,0.183325909,0.167959323,0.146921429,0.02995744,0.132126666,0.075556842,0.055638295
24,1.375464346,0.382655109,0.255038229,0.106305942,0.040802192,0.212640434,0.096890775,0.062454,0.201139206,0.024729221
25,1.370600837,0.362414434,0.264069926,0.03758704,0.048946482,0.010294999,0.252047101,0.136853716,0.091390384,0.158810352
26,1.294922782,0.403259493,0.00042627,0.189373584,0.106495118,0.177673689,0.133857962,0.113128438,0.118809971,0.160234969
27,1.235622471,0.373134626,0.190859435,0.167717715,0.049963281,0.060565762,0.012023688,0.065580121,0.164410087,0.288879912
28,1.235851557,0.373735508,0.112416715,0.02658602,0.176017966,0.057034516,0.239340987,0.113157698,0.249227594,0.026218504
29,1.21342667,0.355588849,0.114760433,0.011894414,0.178793153,0.113960619,0.038775993,0.150088478,0.232905351,0.158821558
30,1.392610049,0.407332592,0.117149387,0.086724423,0.0542315,0.201785707,0.209782112,0.081890688,0.031905976,0.216530208
31,1.264048511,0.368597698,0.095864298,0.056775973,0.199658145,0.065052343,0.117045016,0.138572405,0.162274201,0.164757618
32,1.37440282,0.37421658,0.050151285,0.070344271,0.089969136,0.161317354,0.226584144,0.244903399,0.038266858,0.118463552
33,1.300429879,0.38776988,0.151537761,0.120874919,0.159484644,0.160765142,0.041165027,0.056011439,0.167954075,0.142206993
34,1.349368124,0.382982372,0.1739751,0.146571705,0.016546222,0.095194008,0.180144318,0.100295022,0.140321467,0.146952158
35,1.383896518,0.402623702,0.155822922,0.176504887,0.226624035,0.104324007,0.129267495,0.050382449,0.036817844,0.120256361
36,1.331217496,0.385039909,0.20772549,0.102080142,0.206071863,0.141718262,0.08190193,0.0485601,0.174292106,0.037650107
37,1.235542549,0.373997055,0.008500933,0.206551278,0.202089185,0.029049891,0.142569399,0.191045025,0.13273264,0.087461649
38,1.273727079,0.382104023,0.064791104,0.188302856,0.040424108,0.142676681,0.136984747,0.14207785,0.211599679,0.073142974
39,1.213562861,0.400797891,0.020649895,0.151920007,0.200536299,0.048302603,0.2061953,0.063085571,0.182391819,0.126918505
40,1.325828776,0.388547951,0.020591278,0.281584642,0.024697484,0.130330125,0.147820023,0.192098406,0.079426598,0.123451445
41,1.191140985,0.358896943,0.07279177,0.174010777,0.000294365,0.103606473,0.018108022,0.177015826,0.229448315,0.224724452
42,1.422063923,0.368928034,0.206253195,0.106243445,0.175215611,0.029830417,0.167822115,0.156398377,0.008112238,0.150124602
43,1.271084124,0.366145768,0.179343107,0.050123722,0.225835952,0.082874793,0.017144828,0.096241615,0.139419936,0.209016048
44,1.387212466,0.394165482,0.142346464,0.255940649,0.09670048,0.097065709,0.098599851,0.097873632,0.033764253,0.17770896
45,1.360770448,0.417030414,0.056676741,0.183629414,0.126930066,0.205489358,0.179071378,0.069042819,0.071042687,0.108117538
46,1.335148084,0.407945468,0.068399143,0.226902201,0.053538094,0.107355384,0.221492104,0.08618366,0.081171478,0.154957936
47,1.353964211,0.356804081,0.230345856,0.007593463,0.056962204,0.091692587,0.1407067,0.147167048,0.143074981,0.182457162
48,1.245387479,0.354972343,0.276656071,0.08730628,0.144264415,0.050444364,0.069961041,0.077551806,0.290528189,0.003287833
49,1.308600364,0.346737957,0.258596684,0.127905324,0.226594051,0.04361391,0.00569264,0.157518217,0.136569881,0.043509294
50,1.36189373,0.377670712,0.100841067,0.093706267,0.069461536,0.143326389,0.223528416,0.179252129,0.129746616,0.060137582
51,1.373682627,0.360713056,0.202177502,0.075867595,0.119356139,0.007461117,0.252348159,0.179806689,0.095159559,0.067823239
52,1.240927352,0.35062826,0.064108097,0.20926881,0.166279773,0.012568285,0.101085834,0.256453146,0.129589908,0.060646147
53,1.331637721,0.373839553,0.066338417,0.257139397,0.193234038,0.017852611,0.159256356,0.222889118,0.003248482,0.080041582
54,1.305944021,0.361912358,0.049168375,0.005626818,0.077589324,0.20740773,0.212644397,0.270162673,0.132701748,0.044698935
55,1.255078992,0.404535282,0.063617727,0.051734912,0.227225187,0.175806728,0.122001932,0.032373425,0.162942385,0.164297703
56,1.322777958,0.380588627,0.209232767,0.044264299,0.216897612,0.183901599,0.076787857,0.065631955,0.185634979,0.017648932
