,Time,xmrHigh,xmrLow,xmrOpen,xmrClose,xmrVolumeFrom,xmrVolumeTo,xmrReturns
0,2017-02-10 16:00:00,12.5,12.16,12.28,12.39,14409.68,176023.97999999998,0.008957654723127135
1,2017-02-13 16:00:00,13.8,12.17,12.39,13,57356.409999999996,752931.11,0.04923325262308308
2,2017-02-16 16:00:00,13.6,13,13,13.23,13229.670000000002,176906.12,0.017692307692307726
3,2017-02-19 16:00:00,13.23,11.62,13.23,12.93,89030.56999999999,1098708.56,-0.0226757369614513
4,2017-02-22 16:00:00,13.3,11.74,12.93,11.9,49505.34,605387.66,-0.07965970610982206
5,2017-02-25 16:00:00,12.27,11.62,11.9,12.27,70322.82999999999,839543.0700000001,0.03109243697478985
6,2017-02-28 16:00:00,14.5,12.15,12.27,13.83,195263.78,2554529.26,0.12713936430317854
7,2017-03-03 16:00:00,16,13.4,13.83,15.4,109394.61,1622343.4,0.11352133044107016
8,2017-03-06 16:00:00,15.51,12.15,15.4,13.1,149313.59000000003,2011836.17,-0.1493506493506494
9,2017-03-09 16:00:00,17.02,12.15,13.1,16.9,262894.01,3807367.14,0.2900763358778625
10,2017-03-12 17:00:00,19.8,16.11,16.9,19.32,241446.48,4368236.37,0.14319526627218945
11,2017-03-15 17:00:00,25.99,18.02,19.32,19.4,475033.64,10172333.8,0.0041407867494823135
12,2017-03-18 17:00:00,24,19.39,19.4,21.57,281711.27,6280857.25,0.11185567010309289
13,2017-03-21 17:00:00,22.45,20.26,21.57,21.61,177396.11,3803035.3899999997,0.0018544274455261542
14,2017-03-24 17:00:00,21.62,16.5,21.61,19.4,189504.19,3715893,-0.10226746876446094
15,2017-03-27 17:00:00,21.5,17.68,19.4,20.2,147369.28,2900477.92,0.041237113402061897
16,2017-03-30 17:00:00,21.19,18.97,20.2,20.11,131113.47999999998,2647185.56,-0.004455445544554449
17,2017-04-02 17:00:00,20.94,19.5,20.11,19.75,102849.6,2069569.45,-0.017901541521631002
18,2017-04-05 17:00:00,21.48,18.44,19.75,20.81,129992.19,2563375.9299999997,0.0536708860759493
19,2017-04-08 17:00:00,22.64,20.01,20.81,21.91,93552.17,2015584.28,0.05285920230658345
