,Time,dashHigh,dashLow,dashOpen,dashClose,dashVolumeFrom,dashVolumeTo,dashReturns
0,2017-02-10 16:00:00,17.17,16.44,16.91,16.72,3707.78,62718.7,-0.011235955056179851
1,2017-02-13 16:00:00,19.74,16.6,16.72,19.27,13017.55,242880.13,0.1525119617224881
2,2017-02-16 16:00:00,23.49,18.99,19.27,22.22,29579.35,631308.48,0.15308770108977682
3,2017-02-19 16:00:00,23.39,20,22.22,21.5,24489.969999999998,524641.2,-0.032403240324032356
4,2017-02-22 16:00:00,29.32,21.47,21.5,26.6,53082.340000000004,1348659.72,0.23720930232558146
5,2017-02-25 16:00:00,33.77,25.34,26.6,32.43,56643.2,1668986.26,0.219172932330827
6,2017-02-28 16:00:00,59.03,32.01,32.43,47.25,358959.75,16356837.36,0.4569842738205366
7,2017-03-03 16:00:00,47.99,39.01,47.25,45.8,105277.06,4683994.3100000005,-0.030687830687830746
8,2017-03-06 16:00:00,53.04,40.54,45.8,50.39,109759.23,5188151.18,0.10021834061135379
9,2017-03-09 16:00:00,79.42,45.11,50.39,76.03,300662.22000000003,19171474.23,0.5088311172851756
10,2017-03-12 17:00:00,100.62,70.18,76.03,96,280141.98,24343247.9,0.26265947652242533
11,2017-03-15 17:00:00,126.11,79.16,96,108.74,387781.94,37391207.81,0.1327083333333333
12,2017-03-18 17:00:00,114.86,90.92,108.74,98.08,217247.69,22079703.519999996,-0.09803200294279932
13,2017-03-21 17:00:00,110.21,93.02,98.08,101.94,169015.9,17117222.41,0.03935562805872756
14,2017-03-24 17:00:00,103.14,77.87,101.94,84.99,182717.09000000003,16211341.52,-0.16627427898763983
15,2017-03-27 17:00:00,90.15,75.09,84.99,78.45,138558.68,11445412.57,-0.07695022943875741
16,2017-03-30 17:00:00,78.61,53.34,78.45,56,261843.24000000002,17392146.58,-0.28616953473550033
17,2017-04-02 17:00:00,77.68,46.23,56,74.04,321674.37,20531052.5,0.32214285714285723
18,2017-04-05 17:00:00,74.09,63.62,74.04,67.24,94946.18000000001,6501385.600000001,-0.0918422474338197
19,2017-04-08 17:00:00,68.52,59.11,67.24,60.87,75371.67,4778364.46,-0.09473527662105886
20,2017-04-11 17:00:00,77.19,59.01,60.87,71.8,165247.02000000002,11536290.96,0.17956300312140627
21,2017-04-14 17:00:00,78.25,69.12,71.8,75.44,66258.62000000001,5033349.25,0.05069637883008358
22,2017-04-17 17:00:00,76.39,70.09,75.44,71.04,53303.59,3989191.6799999997,-0.05832449628844103
23,2017-04-20 17:00:00,72.98,69.68,71.04,70.24,37436.979999999996,2790985.21,-0.01126126126126142
24,2017-04-23 17:00:00,72.87,69.22,70.24,71.31,40878.490000000005,3033845.4699999997,0.015233485193621974
25,2017-04-26 17:00:00,98.92,70.06,71.31,93.07,167860.53,14988669.87,0.30514654326181445
26,2017-04-29 17:00:00,95.74,79.78,93.07,83.73,108101.43,10114231.92,-0.10035457182765649
27,2017-05-02 17:00:00,98.45,81.36,83.73,92.55,147747.49000000002,14151114.290000001,0.10533858831959862
28,2017-05-05 17:00:00,105.8,91.24,92.55,95.87,99234.88999999998,10015425.09,0.035872501350621366
