,Time,dashHigh,dashLow,dashOpen,dashClose,dashVolume,dashReturns
0,2017-10-20 01:00:00,301.96,291.49,293.92,291.5,3812.2253,-0.008233532934131791
1,2017-10-20 05:00:00,291.5,288,291.5,290,896.3426,-0.005145797598627788
2,2017-10-20 09:00:00,297.16,288.5,290,292.99,3141.3435,0.010310344827586238
3,2017-10-20 13:00:00,294.35,287.14,292.99,291.29,1248.5388,-0.005802245810437178
4,2017-10-20 17:00:00,291.38,286.51,290.87,287.2,965.893,-0.01261732045243585
5,2017-10-20 21:00:00,289.71,287.1,287.57,287.71,639.0193,0.00048683798727261663
6,2017-10-21 01:00:00,291.95,284.52,287.7,287.63,2631.1475,-0.00024330900243306632
7,2017-10-21 05:00:00,288.64,284.45,286.46,284.6,528.5897,-0.006493053131327086
8,2017-10-21 09:00:00,284.99,277.06,284.6,278.01,2560.305,-0.023155305692199687
9,2017-10-21 13:00:00,279.5,270,277.05,276.21,2472.1487,-0.0030319436924743973
10,2017-10-21 17:00:00,279.85,274.77,276.21,275.49,1288.8466,-0.0026067122841315323
11,2017-10-21 21:00:00,284.07,272.3,276.52,279.8,2994.0964,0.01186170982207446
12,2017-10-22 01:00:00,280.01,275.2,278.22,276.14,1026.1814,-0.007476098051901519
13,2017-10-22 05:00:00,278.47,274.1,276.49,274.79,1277.3053,-0.006148504466707615
14,2017-10-22 09:00:00,276.01,256.51,275.8,274.32,11419.965,-0.0053662073966643156
15,2017-10-22 13:00:00,275.27,267.07,275.27,269.71,1342.6791,-0.020198350710211803
16,2017-10-22 17:00:00,274.9,270.03,270.03,274.51,486.33493,0.01659074917601755
17,2017-10-22 21:00:00,274.1,271,274.01,271.86,385.90393,-0.007846428962446543
18,2017-10-23 01:00:00,275.14,265,271.9,265.72,2516.5042,-0.02272894446487661
19,2017-10-23 05:00:00,268.8,261.11,266.92,268.65,969.2351,0.006481342724411664
20,2017-10-23 09:00:00,269.3,261.24,268.72,267.81,2251.578,-0.003386424531110542
21,2017-10-23 13:00:00,282.8,265.15,267.81,280.95,2237.6562,0.049064635375826095
22,2017-10-23 17:00:00,289.12,278.07,281.95,278.71,5047.7207,-0.01149139918425256
23,2017-10-23 21:00:00,292,270.32,280.71,291.31,5398.1953,0.037761390759146536
24,2017-10-24 01:00:00,298.85,289.44,289.45,295.8,3892.1392,0.021938158576610894
25,2017-10-24 05:00:00,296.88,290.32,295.6,293.3,2102.6436,-0.007780784844384341
26,2017-10-24 09:00:00,300.99,291.1,293.16,298.78,3204.5972,0.01917041888388575
27,2017-10-24 13:00:00,299,292.1,298.49,296.48,2369.5437,-0.006733893932795038
28,2017-10-24 17:00:00,298.1,287.12,296.51,290.2,2354.877,-0.021280901150045536
29,2017-10-24 21:00:00,297.96,285,290.18,290.63,2355.7397,0.0015507615962505638
30,2017-10-25 01:00:00,290.28,284,289.89,288.45,804.9408,-0.004967401428127903
31,2017-10-25 05:00:00,291.5,282,288.97,284.82,1405.4949,-0.01436135238952152
32,2017-10-25 09:00:00,286.51,280.41,284.81,285.93,789.9045,0.003932446192198323
33,2017-10-25 13:00:00,289.9,283.85,285.91,289.84,686.37,0.013745584274771605
34,2017-10-25 17:00:00,290,285.01,289.83,286.01,515.4037,-0.01318014008211708
35,2017-10-25 21:00:00,290,284.04,286,288.44,692.17804,0.008531468531468524
36,2017-10-26 01:00:00,286.87,282,286.47,284.27,1505.2406,-0.007679687227283992
37,2017-10-26 05:00:00,290,284.5,284.5,289.6,1117.7592,0.017926186291739976
38,2017-10-26 09:00:00,290,275.45,288.75,282.73,5990.4766,-0.020848484848484786
39,2017-10-26 13:00:00,286,280.53,282.77,282.81,539.2261,0.0001414577218234624
40,2017-10-26 17:00:00,286.69,280.98,283.5,285.88,382.48514,0.008395061728395046
41,2017-10-26 21:00:00,288,277.12,285.38,282.46,3840.1396,-0.010231971406545715
42,2017-10-27 01:00:00,284.9,281.15,282.45,284.13,545.3086,0.005947955390334597
43,2017-10-27 05:00:00,284.86,277.2,283.8,282.42,1969.0398,-0.004862579281183916
44,2017-10-27 09:00:00,283.48,277.98,282.46,279.32,833.49176,-0.011116618282234605
45,2017-10-27 13:00:00,281.11,277.6,278.56,279.92,458.94345,0.00488225157955203
46,2017-10-27 17:00:00,281,278.1,279.61,281,329.20554,0.00497120989950283
47,2017-10-27 21:00:00,282,277.6,281,278.34,244.17427,-0.009466192170818594
48,2017-10-28 01:00:00,286.73,278.16,278.75,285.34,1555.3939,0.023641255605381075
49,2017-10-28 05:00:00,285.5,279.47,285.22,279.98,1049.15,-0.018371783184909923
50,2017-10-28 09:00:00,282.1,278.5,279.9,278.56,855.19135,-0.004787424080028493
51,2017-10-28 13:00:00,280.92,268.1,279.46,276.83,7502.462,-0.009411006941959477
52,2017-10-28 17:00:00,277.81,257.36,276.82,273.36,7101.3887,-0.012499096886063071
53,2017-10-28 21:00:00,281.08,272.89,273.62,277.24,1492.1061,0.013230027044806683
54,2017-10-29 01:00:00,282.26,276.41,276.41,277.73,994.43976,0.004775514634058077
55,2017-10-29 05:00:00,281,275.3,276.93,280.98,1539.079,0.014624634384140437
56,2017-10-29 09:00:00,286,275.06,281,283.5,2602.1956,0.008896797153024912
57,2017-10-29 13:00:00,286,280.53,283.47,286,2233.7344,0.008925106713232343
58,2017-10-29 17:00:00,290,282.74,285.38,284.26,1568.2548,-0.0039245917723736935
59,2017-10-29 21:00:00,286.31,281.58,284.26,285.23,1248.4685,0.0034123689579962967
60,2017-10-30 01:00:00,288,283.76,286.02,287.91,514.3752,0.006607929515418653
