Predict,Round,class,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
0.999990702,1,1,5,2,4,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,2,3,5
8.57E-12,0,0,5,2,9,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,2,1
6.12E-06,0,0,0,2,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,2,3
1,1,1,5,3,8,1,6,1,0,1,5,0,3,2,2,7,7,0,2,1,4,2,3,5
6.37E-07,0,0,5,2,3,0,5,1,1,0,4,1,3,2,2,7,7,0,2,1,0,3,0,1
9.05E-12,0,0,5,3,9,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,2,1
8.40E-11,0,0,0,2,8,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,2,3
1.15E-05,0,0,0,3,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,3,3
0.999997497,1,1,5,3,8,1,6,1,0,1,7,0,3,2,2,7,7,0,2,1,4,2,4,1
3.59E-10,0,0,0,2,9,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,3,3
5.64E-07,0,0,5,3,9,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,2,1
5.69E-11,0,0,5,3,9,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,3,3
6.00E-10,0,0,0,2,9,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,3,1
0.999999881,1,1,5,3,8,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,3,4,5
1.09E-08,0,0,5,0,4,0,5,1,1,0,5,1,3,2,0,7,7,0,2,1,0,2,0,1
0.000118892,0,0,4,0,3,0,5,1,0,1,4,0,3,2,2,7,7,0,2,1,4,3,5,5
1.09E-06,0,0,2,0,8,0,5,1,1,0,4,1,3,2,2,7,7,0,2,1,0,3,0,1
0.99998188,1,1,5,2,4,1,6,1,0,1,5,0,3,2,2,7,7,0,2,1,4,2,3,1
0.999999642,1,1,5,3,8,1,6,1,0,1,5,0,3,2,2,7,7,0,2,1,4,3,3,5
0.999984264,1,1,5,2,4,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,3,3,5
4.37E-11,0,0,0,2,9,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,3,3
0.999978065,1,1,5,3,4,1,6,1,0,1,5,0,3,2,2,7,7,0,2,1,4,3,4,1
2.83E-06,0,0,0,3,9,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,3,3
7.43E-12,0,0,0,3,8,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,2,3
0.001951052,0,0,0,2,8,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,3,3
0.999965072,1,1,2,2,8,1,6,1,0,1,5,0,3,2,2,7,7,0,2,1,4,3,4,1
5.58E-13,0,0,5,3,9,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,2,3
6.02E-06,0,0,5,3,8,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,2,3
0.000568519,0,0,2,0,4,0,5,1,0,1,4,0,3,2,2,7,7,0,2,1,4,2,5,5
0.000867479,0,0,5,2,9,1,0,1,1,1,5,1,1,2,2,7,7,0,2,1,4,3,4,0
