"City","Latitude","Logitude","error"
"San Leandro, California, USA","37.724930","-122.156077",""
"Plymouth, Massachusetts, USA","","","Failed to load url:https://www.latlong.net/ [Connection refused]"
"Kansas, Missouri, USA","39.099727","-94.578567",""
"Strongsville, Ohio, USA","41.314497","-81.835690",""
"Bel Air, Maryland, USA","39.535941","-76.348293",""
"Chicago, Illinois, USA","41.878114","-87.629798",""
"Ashland, Oregon, USA","42.194576","-122.709477",""
"St. Paul, Minnesota, USA","44.953703","-93.089958",""
"Boulder, Colorado, USA","40.014986","-105.270546",""
"Southwold, Suffolk, UK","52.325628","1.680181",""
"Easton, Pennslyvania, USA","40.688432","-75.220732",""
"Escondido, California, USA","33.119207","-117.086421",""
"Juneau, Alaska, USA","58.301944","-134.419722",""
"Redlands, California, USA","34.055569","-117.182538",""
"San Clemente, California, USA","33.427352","-117.612600",""
"Coronado, California, USA","32.685885","-117.183089",""
"Seattle, Washington, USA","47.606209","-122.332071",""
"Tampa, Florida, USA","27.950575","-82.457178",""
"Kona, Hawaii, USA","19.639994","-155.996926",""
"Turlock, California, USA","37.494657","-120.846594",""
"Astoria, Oregon, USA","46.187884","-123.831253",""
"Ithaca, New York, USA","42.443961","-76.501881",""
"Mammoth Lakes, California, USA","37.648546","-118.972079",""
"Tampa, Florida, USA","27.950575","-82.457178",""
"Redlands, California, USA","34.055569","-117.182538",""
"Chandler, Arizona, USA","33.306160","-111.841250",""
"Missoula, Montana, USA","46.878718","-113.996586",""
"Fort Collins, Colorado, USA","40.585260","-105.084423",""
"Boulder, Colorado, USA","40.014986","-105.270546",""
"Longmont, Colorado, USA","40.167207","-105.101927",""
"Durango, Colorado, USA","37.275280","-107.880067",""
"San Francisco, CA, USA","37.774929","-122.419416",""
"Coronado, California, USA","32.685885","-117.183089",""
"Chicago, Illinois, USA","41.878114","-87.629798",""
"Toronto, Ontario, Canada","43.653226","-79.383184",""
"Seattle, Washington, USA","47.606209","-122.332071",""
"Victoria, British Columbia, Canada","48.428421","-123.365644",""
"Boston, Massachusetts, USA","42.360082","-71.058880",""
"Colorado Springs, Colorado, USA","38.833882","-104.821363",""
"La Vista, Nebraska, USA","41.183888","-96.031127",""
"Estes Park, Colorado, USA","40.377206","-105.521665",""
"Milton, Delaware, USA","38.777612","-75.309914",""
"San Diego, California, USA","32.715738","-117.161084",""
"Southwold, Suffolk, UK","52.325628","1.680181",""
"Cleveland, Ohio, USA","41.499320","-81.694361",""
"Newport, Rhode Island, USA","41.490102","-71.312829",""
"Chico, California, USA","39.728494","-121.837478",""
"Boston, Massachusetts, USA","42.360082","-71.058880",""
"Bend, Oregon, USA","44.058173","-121.315310",""
"Denver, Colorado, USA","39.739236","-104.990251",""
"Abita Springs, Louisiana, USA","30.478526","-90.037576",""
"Paso Robles, California, USA","35.636876","-120.654502",""
"Boston, Massachusetts, USA","42.360082","-71.058880",""
"Portland, Oregon, USA","45.523062","-122.676482",""
"Stockton, California, USA","37.957702","-121.290780",""
"San Diego, California, USA","32.715738","-117.161084",""
"Borgorose, Rieti, Italy","42.192768","13.235852",""
"Coronado, California, USA","32.685885","-117.183089",""
"Chico, California, USA","39.728494","-121.837478",""
"Salt Lake City, Utah, USA","40.760779","-111.891047",""
"San Diego, California, USA","32.715738","-117.161084",""
"Newport, Oregon, USA","44.636784","-124.053450",""
"Milton, Delaware, USA","38.777612","-75.309914",""
"Fort Worth, Texas, USA","32.755488","-97.330766",""
"Chandler, Arizona, USA","33.306160","-111.841250",""
"Bend, Oregon, USA","44.058173","-121.315310",""
"Fredrick, Maryland, USA","39.414269","-77.410541",""
"St. Austell, Cornwall, UK","50.340378","-4.783425",""
"Alexandria, Virginia, USA","38.804836","-77.046921",""
"Athens, Georgia, USA","33.951935","-83.357567",""
"Agoura Hills, California, USA","34.153340","-118.761676",""
"Escondido, California, USA","33.119207","-117.086421",""
"San Luis Obispo, California, USA","35.282752","-120.659616",""
"Anchorage, Alaska, USA","61.218056","-149.900278",""
"Anchorage, Alaska, USA","61.218056","-149.900278",""
"Middlebury, Vermont, USA","44.015337","-73.167340",""
"Gainesville, Florida, USA","29.651634","-82.324826",""
"Boulder, Colorado, USA","40.014986","-105.270546",""
"Bend, Oregon, USA","44.058173","-121.315310",""
"Fredrick, Maryland, USA","39.414269","-77.410541",""
"Portland, Oregon, USA","45.523062","-122.676482",""
"Tempe, Arizona, USA","33.425510","-111.940005",""
"Chandler, Arizona, USA","33.306160","-111.841250",""
"Lancaster, Pennsylvania, USA","40.037875","-76.305514",""
"Salt Lake City, Utah, USA","40.760779","-111.891047",""
"Kansas, Missouri, USA","39.099727","-94.578567",""
"Austin, Texas, USA","30.267153","-97.743061",""
"Racine, Wisconsin, USA","42.726131","-87.782852",""
"Chico, California, USA","39.728494","-121.837478",""
"Eugene, Oregon, USA","44.052069","-123.086754",""
"San Diego, California, USA","32.715738","-117.161084",""
"Seattle, Washington, USA","47.606209","-122.332071",""
