Number,Beer,Brewery,City,State,Country,Latitude,Longitude,Style,ABV,IBU
62,Jockamo IPA,Abita Brewing Co.,Abita Springs, Louisiana, USA,30.478526,-90.037576,American,0.065,52
20,Chesebro IPA,Ladyface Ale Companie,Agoura Hills, California, USA,34.15334,-118.761676,Double,0.1,100
70,Monumental IPA,Port City Brewing,Alexandria, Virginia, USA,38.804836,-77.046921,American,0.063,57
34,Glacier India Pale Ale,Glacier Brewhouse,Anchorage, Alaska, USA,61.218056,-149.900278,American,0.063,
87,Sockeye Red IPA,Midnight Sun Brewing Co.,Anchorage, Alaska, USA,61.218056,-149.900278,American,0.057,70
48,Hopportunity Knocks,Caldera Brewing Company,Ashland, Oregon, USA,42.194576,-122.709477,American,0.068,
101,Vortex IPA,Fort George Brewery,Astoria, Oregon, USA,46.187884,-123.831253,American,0.077,
93,Terrapin Hopsecutioner,Terrapin Beer Company,Athens, Georgia, USA,33.951935,-83.357567,American,0.073,71
35,Gold Digger IPA,Auburn Alehouse Brewery,Auburn, California, USA,38.896565,-121.07689,American,0.063,65
26,Epic Armageddon,Epic Brewing Company,Auckland,,New Zealand,-36.84846,174.763332,,0.0666,
107,Wytchmaker Rye IPA,Jester King Craft Brewery,Austin, Texas, USA,30.267153,-97.743061,American,0.073,
42,Hellrazer,DuClaw Brewing Company,Bel Air, Maryland, USA,39.535941,-76.348293,American,0.075,85
7,Apocalypse IPA,10 Barrel Brewing Co.,Bend, Oregon, USA,44.058173,-121.31531,American,0.065,65
43,Hop Henge IPA,Deschutes Brewery,Bend, Oregon, USA,44.058173,-121.31531,Imperial,0.106,95
80,Red Chair,Deschutes Brewery,Bend, Oregon, USA,44.058173,-121.31531,Northwest,0.062,60
79,ReAle Extra,Birra Del Borgo,Borgorose, Rieti, Italy,42.192768,13.235852,American,0.062,
40,Harpoon IPA,Harpoon Brewery,Boston, Massachusetts, USA,42.360082,-71.05888,English,0.059,42
64,Latitude 48 IPA,Boston Beer Company,Boston, Massachusetts, USA,42.360082,-71.05888,American,0.06,60
81,Rich & Dans Rye IPA,Harpoon Brewery,Boston, Massachusetts, USA,42.360082,-71.05888,Rye,0.069,70
11,Avery India Pale Ale,Avery Brewing Company,Boulder, Colorado, USA,40.014986,-105.270546,American,0.065,69
69,Mojo IPA,Boulder Beer,Boulder, Colorado, USA,40.014986,-105.270546,American,0.072,
99,Twisted Pine Hoppy Boy,Twisted Pine Brewing Company,Boulder, Colorado, USA,40.014986,-105.270546,American,0.062,65
23,Count Hopula Blood Red IPA,SanTan Brewing Company,Chandler, Arizona, USA,33.30616,-111.84125,Imperial,0.07,99
