,ABV,Beer,Brewery,IBU,Location,Number,Style
0,9%,90 Minute IPA,Dogfish Head Craft Brewery,90,"Milton, Delaware, USA",1,Imperial
1,4.8%,Adnams American IPA,Sole Bay Brewery,,"Southwold, Suffolk, UK",2,American
2,6.7%,Adnams Innovation,Sole Bay Brewery,,"Southwold, Suffolk, UK",3,American
3,6.2%,Alaskan IPA,Alaskan Brewing Company,55,"Juneau, Alaska, USA",4,American
4,7.25%,AleSmith IPA,AleSmith Brewing Company,,"San Diego, California, USA",5,American
5,6.5%,Anti-Hero,Revolution Brewing Company,70,"Chicago, Illinois, USA",6,American
6,6.5%,Apocalypse IPA,10 Barrel Brewing Co.,65,"Bend, Oregon, USA",7,American
7,7%,Aprihop,Dogfish Head Craft Brewery,50,"Milton, Delaware, USA",8,American
8,6.5%,Atlas India Pale Ale,Marshall Brewing Company,,"Tulsa, Oklahoma, USA",9,American
9,6.3%,Avatar Jasmine IPA,Elysian Brewing Company,45,"Seattle, Washington, USA",10,American
10,6.5%,Avery India Pale Ale,Avery Brewing Company,69,"Boulder, Colorado, USA",11,American
11,7%,Belgo IPA,New Belgium Brewing,60,"Fort Collins, Colorado, USA",12,Belgian
12,6.5%,Big Daddy IPA,Speakeasy Ales & Lagers,55,"San Francisco, CA, USA",13,American
13,7.3%,Big Nose IPA,Swamp Head Brewery,50,"Gainesville, Florida, USA",14,American
14,6.2%,Big Sky IPA,Big Sky Brewing Company,65,"Missoula, Montana, USA",15,American
15,6.8%,Big Swell IPA,Maui Brewing Co.,50,"Lahaina, Hawaii, USA",16,American
16,7.1%,Boneshaker IPA,Amsterdam Brewing Company,65,"Toronto, Ontario, Canada",17,American
17,7%,Castaway IPA,Kona Brewing Company,65,"Kona, Hawaii, USA",18,American
18,6.8%,Celebration Ale,Sierra Nevada Brewing Co.,65,"Chico, California, USA",19,American
19,10%,Chesebro IPA,Ladyface Ale Companie,100,"Agoura Hills, California, USA",20,Double
20,7.5%,Commodore Perry IPA,Great Lakes Brewing Co.,70,"Cleveland, Ohio, USA",21,American
21,6.5%,Compass IPA,Bristol Brewing Company,55,"Colorado Springs, Colorado, USA",22,American
22,7%,Count Hopula Blood Red IPA,SanTan Brewing Company,99,"Chandler, Arizona, USA",23,Imperial
23,8.5%,Double-Wide IPA,Boulevard Brewing Co.,71,"Kansas, Missouri, USA",24,Double
24,7%,Drake's IPA,Drake's Brewing Co.,65,"San Leandro, California, USA",25,American
25,6.66%,Epic Armageddon,Epic Brewing Company,,"Auckland,     New Zealand",26,
26,6.5%,Epic IPA,Mammoth Brewing Company,50,"Mammoth Lakes, California, USA",27,American
27,5.8%,Estes Park Renegade,Estes Park Brewery,,"Estes Park, Colorado, USA",28,American
28,6.2%,Evolutionary IPA,Two Beers Brewing Co.,70,"Seattle, Washington, USA",29,American
29,7%,Fat Tug IPA,Driftwood Brewery,80,"Victoria, British Columbia, Canada",30,Northwest
30,7.5%,Flower Power India Pale Ale,Ithaca Beer Company,,"Ithaca, New York, USA",31,American
31,6.5%,Frogs Breath,Coronado Brewing Company,70,"Coronado, California, USA",32,American
32,6%,Frye's Leap India Pale Ale,Sebago Brewing Company,55,"Gorham, Maine, USA",33,American
33,6.3%,Glacier India Pale Ale,Glacier Brewhouse,,"Anchorage, Alaska, USA",34,American
34,6.3%,Gold Digger IPA,Auburn Alehouse Brewery,65,"Auburn, California, USA",35,American
35,5.9%,Goose Island India Pale Ale,Goose Island Beer Co.,55,"Chicago, Illinois, USA",36,English
36,9.4%,Green Flash Imperial IPA,Green Flash Bewing Co.,101,"San Diego, California, USA",37,Imperial
37,7%,Hangar 24 Columbus IPA,Hangar 24 Brewery,77,"Redlands, California, USA",38,American
38,9%,Hangar 24 Double IPA,Hangar 24 Brewery,118,"Redlands, California, USA",39,Double
39,5.9%,Harpoon IPA,Harpoon Brewery,42,"Boston, Massachusetts, USA",40,English
